Name,Price,Rating,Reviews,URL,Description,ASIN,Product Description,Manufacturer
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.3 out of 5 stars,66,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTg4ODkzODgwOTc4MzUxOjE2OTAyODYxNjk6c3BfYXRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690286169%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material
Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty",B0BWNBQXDZ,None,Acefour Accessories Pvt. Ltd.
uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex,"1,350",4.2 out of 5 stars,167,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTg4ODkzODgwOTc4MzUxOjE2OTAyODYxNjk6c3BfYXRmOjIwMDgxNDM1MDg0MTk4OjowOjo&url=%2Fuppercase-Medium-Laptop-Backpack-2100EBP1%2Fdp%2FB0B5NBLGBQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690286169%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Care Instructions: Hand Wash Only
Handcrafted with care and made up of premium quality robust material",B0B5NBLGBQ,"If you feel all backpacks are just the same old boring black and grey bags, read on. Especially if you are stylish and are looking for one that will complement your style. This handcrafted uppercase RollTop Laptop Backpack is the perfect stylish, sleek, and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack your other essentials. It is visually striking with a classic European design. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - Spacious compartment that can carry 3+ A4-sized books or a set of clothes, and all your essential chargers and electronics. - Internal organiser to store your power bank and cables. - Front access pocket to easily carry important small items. - Bottle holder on the side. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Superior material quality - Premium Nylon-sheen fabric gives the backpack a smooth and glossy feel that is a joy to touch. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Roll Top Laptop Backpack bought helps reduce 9 1-litre plastic bottles from the planet, helps conserve 117ml of crude oil, and prevents 584g of CO₂ emission. * *Approximate calculations based on information available on www.textilevaluechain.in",Acefour Accessories Pvt. Ltd.
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0 out of 5 stars,"54,992",https://www.amazon.in/gp/bestsellers/luggage/2917444031/ref=sr_bs_2_2917444031_1,None,B07CJCGM1M,None,
Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,"5,208",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-4,"Care Instructions: Hand Wash Only
Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,
Water Resistance Level: Not Water Resistant
Size: 35 x 13 x 46 cms",B08Z1HHHTD,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",VIP Industries Ltd
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,4.3 out of 5 stars,"11,861",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-5,"30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.
Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.
Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.
Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks
1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty
Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.
› See more product details",B084JGJ8PF,None,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,"3,240",https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-6,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.
Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.
Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.
Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.
FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",B09VCLZ3K4,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9 out of 5 stars,"16,604",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-7,"Care Instructions: Hand Wash Only
SPACIOUS AND LIGHTWEIGHT: Light weight & spacious laptop bag for men comes with 3 compartments. One is for carrying laptop inside (Upto 17""), with padding for safety, and space for laptop accessories like charger, etc. Second compartment of office bag for men is for books, files & all your day to day essentials. And third compartment of backpack for men is for your extra stuff. Laptop backpacks for men has provision for holding bottles on both sides & has padded shoulder straps for your comfort
COMFORT WITH QUALITY: This backpack for men has Wide, Padded & Adjustable shoulder straps & Padded Back for comfort in carrying heavy items. The laptop bag for men is stitched properly & Bartacks on every pressure point for extra durability. The office bag for men are made with strong yet light weight polyester fabric with heavy zippers. College Bags for men also comes with a Rain cover so that you can travel during rainy season without any problem. This laptop bag can be used by everyone.
SMART & TRENDY LOOKS: This Large backpack for men is smart, trendy and stylish in looks. The multipurpose college bags for men looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm
ENDURING & LONG LASTING LAPTOP BACKPACK: This trekking backpack for men/laptop bag for men is made up of highly durable material, which makes it suitable for all weather conditions including rains & extreme scorching heat. It will not only keep the inside stuff safe but will also resist damage to itself. We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating & to help you lift heavy objects easily.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.",B085MHDJ93,None,Amazing Bags
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,"3,240",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-8,"Care Instructions: Hand Wash Only
This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.
Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.
Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.
Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.
FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc",B0BJ32LQ6X,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),987,4.4 out of 5 stars,"5,922",https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-9,"Care Instructions: Hand Wash Only
Outer material: synthetic, color: brown
Waterproof
Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)
Number of compartments: 2
Laptop compatibility: yes, laptop size: 16strap type: adjustable
Anti theft waterproof bag with anti sweat fabric on back and shoulder straps
Show More",B07G4F6XFH,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3 out of 5 stars,572,https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_9_1375464031_1,None,B0BTD4S4XF,None,
"WALKENT Anti-Theft 15.6"" Laptop Bag for Office, College with Side Bottle Pocket & More for Men & Women (Model Serenity, 23 Liters, Black)","2,190",4.6 out of 5 stars,18,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTg4ODkzODgwOTc4MzUxOjE2OTAyODYxNjk6c3BfbXRmOjIwMTY0NjQ0MDg5Mjk4OjowOjo&url=%2FWALKENT-Anti-Theft-Laptop-College-Serenity%2Fdp%2FB0C6TD9NLR%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690286169%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Care Instructions: Wipe with Damp Cloth
Waterproof and scratch-resistant polyester outer material to keep belongings dry and safe
Cushioned Laptop Compartment & Trolley strap for ease of travel and safe keeping of your Laptop, Tablet etc…
External USB port and Cable hole for convenient device charging on-the-go
23 liters capacity with side bottle pockets and front utility pockets for easy organization of essentials
Cushioned shoulder straps and back for comfort during long commutes",B0C6TD9NLR,The,Walkent OEM
"WALKENT 15.6"" Vegan Leather Laptop Bag with Side Bottle & Anti-Theft Pockets, Waterproof Backpack for Men & Women (Model Caballo, 33 Liters, Black)","2,990",0,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTg4ODkzODgwOTc4MzUxOjE2OTAyODYxNjk6c3BfbXRmOjMwMDAxODE0MzIwMDMzMjo6MDo6&url=%2FWALKENT-Anti-Theft-Waterproof-Backpack-Caballo%2Fdp%2FB0C7KPGC2Y%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690286169%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Care Instructions: Wipe with Damp Cloth
WALKENT CABALLO is the perfect combination of style and durability with its high-quality polyester and vegan leather outer material
With a large 33-liter capacity, this bag can hold everything you need for work or college, and it weighs only 1100 grams for easy carry
The cushioned shoulder straps and front chest strap provide comfort and weight distribution, while the trolley strap allows for easy travel
Keep your belongings organized with the separate laptop compartment, organizer pockets, and 180 degree openable design
The Walkent Caballo also features an external USB port and an anti-theft security pocket at the back for cards and mobile, making it the best premium laptop backpack for men and women who value functionality and style",B0C7KPGC2Y,Looking for a durable and stylish laptop backpack that's perfect for office or college use? Look no further than,Walkent OEM
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"1,125",4.4 out of 5 stars,"5,923",https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-13,"Outer Material: Polyester, Color: Black
Water Resistance: Water resistant
Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2
Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,
Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks",B075MK4TXP,None,Gear Merchandise PVT LTD
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",689,3.8 out of 5 stars,"2,320",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-14,"Care Instructions: Hand Wash Only
Ease of Access-Multi purpose pockets Super sorted stuff It has a vibrant and stylish design, along with the added benefit of spacious interiors.
Anti - Theft Pocket-Hidden storage pocket for important documents like passports, tickets, cash while on the go.
Integrated Fast charging port-Unique pre-fitted USB port helps you to easily connect your phone or any other device with your power bank. Charging system for smart devices , with free USB (power bank not included )
Care Instructions: Wipe with Dry Cloth
Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.",B09QJ7ZF2Y,None,
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,630,4.0 out of 5 stars,482,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-15,"Care Instructions: Machine Wash
Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more.
Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find.
Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",B0BS6QQZYN,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",SHABA BAGS
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,649,3.6 out of 5 stars,160,https://www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-16,"This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.
Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.
Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.
Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.
FEATURES: 15.6 inch Laptop compartment, Internal Organiser, Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, etc",B0C23Z9W18,None,Half_Moon
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,549,4.0 out of 5 stars,124,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-17,"Care Instructions: Hand Wash Only
COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g
HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items
CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use
CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.
HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.",B0BL3TVDK6,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",Northzone
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9 out of 5 stars,"1,023",https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-18,"Material: Water Resistant Light-Weight Polyester<br>
Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>
Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>
Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>
Closure Type: Zipper<br>",B09TPX22NF,None,ADISA
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,224,3.7 out of 5 stars,"6,850",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-19,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.
Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)
Number of compartments: 1; Compatible Laptop Size : 15.4
Warranty Type: Manufacturer; 1 Year from the date of purchase
Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper",B019HA8AYG,None,Gear Merchandise PVT LTD
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",839,4.3 out of 5 stars,"3,729",https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1690286169&sprefix=ba%2Caps%2C283&sr=8-20,"Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort
Smooth zippers that never jam or break
Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use
Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials
The padded shoulder straps, handle, and back panel provides protection and all-day comfort.
› See more product details",B08R7RPVJF,None,
"WALKENT 15.6"" Laptop Bags with Special Waterproof Silk Polyester Material for Office, College, Men & Women (Model Hazel, 20 Liters, Black)","1,990",0,0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTg4ODkzODgwOTc4MzUxOjE2OTAyODYxNjk6c3BfYnRmOjMwMDAwNjc3NDc4MzEzMjo6MDo6&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690286169%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Care Instructions: Wipe with Damp Cloth
Waterproof and scratch-resistant Special & New Silk Polyester outer material that ensures your belongings stay safe and dry in all weather conditions
With a 20-liter capacity and weighing only 800 grams, the Hazel bag is perfect for everyday use at the office, college, or on the go
The cushioned shoulder straps and laptop compartment provide maximum comfort and protection for your device during transport
The side bottle pocket and organizer pockets inside the bag ensure that your essentials are always within reach and organized
With its stylish design and latest fashion appeal, the Hazel bag is the perfect blend of functionality and style for men and women alike",B0C7KP5BT4,Looking for a stylish and practical laptop bag? Look no further than,Walkent OEM
scarters | Ultimate Laptop Backpack for Business in Water Resistant Anti-Abrasive Nylon Fabric: Terminal,"12,399",4.7 out of 5 stars,169,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTg4ODkzODgwOTc4MzUxOjE2OTAyODYxNjk6c3BfYnRmOjIwMDM2OTEzOTI1NTk4OjowOjo&url=%2FScarters-Ultimate-Backpack-Resistant-Anti-Abrasive%2Fdp%2FB082PMDYR7%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690286169%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"Thoughtful External Pockets: When it comes to laptop bags for men, thoughtful external pockets are essential. A great laptop bag should have two quick-access pockets and a detachable and convertible waist sling in the front. This allows for easy access to items that may be needed quickly, such as a phone or bottle. Additionally, two side pockets can be used to store additional items such as keys or other small items.
Closure Type : Zipper; Age Range Description: Adult; Pattern Name: Solid; Warranty Description: 2 Years Manufacturing Warranty On Hardware Components Only. Example - Zippers, Hooks, Buckles.; Special Features: Laptop Compartment.
Backpack for Men Dimensions: H 45.5 cm W 32.5 cm D 18 cm | Weight: 1.3 kg | Capacity: 26.6 litres | Material: Water-Resistant 1680 Denier Anti-Abrasive Nylon Fabric, Microfiber Vegan Leather | Laptop Sizes: 12 inch / 13.3 inch / 14 inch / 15 inch / 15.6 inch
Spacious Interiors Laptop Bag for Men : A 180° openable Electronics Compartment for a quick airport security check with a Laptop Sleeve, Kindle / Tablet Sleeve, Two Mesh Pockets & a Master Compartment with Power Bank Holder.
Travel Friendly Laptop Backpacks for Men : The Terminal laptop backpack is the perfect companion for busy professionals. It's built to last, designed to fit all your essentials, and looks great. Perfect office bag for business travelers, this backpack is ready to go anywhere.",B082PMDYR7,None,scarters
